Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
B0023128-01,Jimmy Eat World,Bleed American,"Geffen Records, UMe, Interscope Records","LP, Album, RE, 150",,2016,7943146,Uncategorized,2019-03-02 08:18:21,,,
006025479445419,Weezer,Pinkerton,"Geffen Records, Universal Music Group International","LP, Album, RE, 180",,2016,9680240,Uncategorized,2019-03-03 17:24:08,,,
GPLP010,Modest Mouse,Building Nothing Out Of Something,Glacial Pace,"LP, Comp, RE, 180",,2015,6882953,Uncategorized,2019-03-03 14:51:20,,,
GONE131,Nots,Cosmetic,Goner Records,"LP, Album",,2016,9064285,Uncategorized,2019-03-03 15:02:09,,,
GRAVE121,Des Ark,Everything Dies,Graveface Records,"LP, Album, Pin",,2015,7636004,Uncategorized,2019-03-02 06:04:16,,,
HAR-034,Hunx And His Punx,Too Young To Be In Love,Hardly Art,LP,,2011,2796566,Uncategorized,2019-03-02 07:56:55,,,
HAR-081,Protomartyr (2),Under Color Of Official Right ,Hardly Art,"LP, Album",,2014,5577189,Uncategorized,2019-03-03 15:41:42,,,
HAR-086,Chastity Belt,Time To Go Home,Hardly Art,"LP, Album",,2015,6918788,Uncategorized,2019-02-25 18:24:20,,,
HAR-091,Protomartyr (2),The Agent Intellect,Hardly Art,"LP, Album, Ltd, Gre",,2015,7561509,Uncategorized,2019-03-03 15:42:48,,,
SIR-21,The Bronzed Chorus,I'm The Spring,Hello Sir Records,"LP, Album, whi",,2009,2895944,Uncategorized,2019-02-25 17:38:30,,,
HLR003,Grass Widow,Internal Logic,HLR,"LP, Album",,2012,3626887,Uncategorized,2019-03-02 07:18:04,,,
IDIB38LP,Chromatics,Kill For Love,Italians Do It Better,"2xLP, Album, Ltd, Mag",,2012,3826876,Uncategorized,2019-03-02 05:38:39,,,
JT1035,The Promise Ring,Nothing Feels Good,Jade Tree,"LP, Album, RP, Whi",,1999,3381192,Uncategorized,2019-03-03 15:34:15,,,
JT1043,The Promise Ring,Very Emergency,Jade Tree,"LP, Album",,1999,2046458,Uncategorized,2019-03-03 15:34:52,,,
JT1046,Pedro The Lion,Winners Never Quit,Jade Tree,"LP, Album, Ltd, RE, RM",,2012,3972759,Uncategorized,2019-03-03 15:14:04,,,
JT1052,Jets To Brazil,Four Cornered Night,Jade Tree,"2xLP, Album, Whi",,2000,1640095,Uncategorized,2019-03-02 08:20:05,,,
JT1064,Pedro The Lion,The Only Reason I Feel Secure,Jade Tree,"12"", EP, Ltd, RE, RM",,2012,3972789,Uncategorized,2019-03-03 15:13:28,,,
JT1072,Pedro The Lion,Control,Jade Tree,"LP, Album, Ltd, Cok",,2002,1102037,Uncategorized,2019-03-03 15:19:34,,,
JT1073,Denali,Denali,Jade Tree,"LP, Album, Whi",,2002,2577376,Uncategorized,2019-03-02 06:01:09,,,
JT1079,Jets To Brazil,Perfecting Loneliness,Jade Tree,"2xLP, Album, Ora",,2002,1068487,Uncategorized,2019-03-02 08:20:48,,,
JT1095,Pedro The Lion,Achilles Heel,Jade Tree,"LP, Album, RE",,2018,12683615,Uncategorized,2019-03-03 15:18:56,,,
"JT1036, 82108-1SC",Cap'n Jazz,Analphabetapolothology,"Jade Tree, Epitaph","2xLP, Comp, RE, RP, 180",,2017,10914395,Uncategorized,2019-02-25 18:30:28,,,
"JT1038, 82101-1",Jets To Brazil,Orange Rhyming Dictionary,"Jade Tree, Epitaph","2xLP, Album, RE, 180",,2017,10984161,Uncategorized,2019-03-02 08:19:24,,,
"JT1063, 82186-1",Pedro The Lion,It's Hard To Find A Friend,"Jade Tree, Jade Tree","LP, Album, RE, RM",,2018,12049836,Uncategorized,2019-03-03 15:17:48,,,
JAG201,Sharon Van Etten,Tramp,Jagjaguwar,"LP, Album",,2012,3387096,Uncategorized,2019-03-03 17:16:24,,,
JAG244LP-C1,Angel Olsen,Burn Your Fire For No Witness,Jagjaguwar,"LP, Album, Ltd, Whi",,2014,8722463,Uncategorized,2019-03-03 15:04:16,,,
JAG255,Sharon Van Etten,Are We There,Jagjaguwar,"LP, Album",,2014,5732782,Uncategorized,2019-03-03 17:16:04,,,
JAG314LP,Angel Olsen,Phases,Jagjaguwar,"LP, Comp",,2017,11118079,Uncategorized,2019-03-03 15:06:43,,,
JAG322,Unknown Mortal Orchestra,Sex & Food,Jagjaguwar,"LP, Album",,2018,11768271,Uncategorized,2019-03-03 17:07:32,,,
"JAG284, JAG284LP-C1",Angel Olsen,My Woman,"Jagjaguwar, Jagjaguwar","LP, Album, Ltd, Pur",,2016,8980757,Uncategorized,2019-03-03 15:05:26,,,
JB-070,M. Ward,Transfiguration Of Vincent,Jealous Butcher Records,"LP, Album, RE, Tra",,2013,4335673,Uncategorized,2019-03-03 17:16:51,,,
JNR184,Lil Bub (2),Science & Magic,Joyful Noise Recordings,"LP, Ltd, Num, Pic",,2015,7851364,Uncategorized,2019-03-02 08:43:59,,,
"KRS 425, JB-053",The Decemberists,Picaresque,"Kill Rock Stars, Jealous Butcher Records","2xLP, Album, Ltd, RE, Red",,2015,6912262,Uncategorized,2019-03-02 06:00:40,,,
KPR 20,An Albatross,London:Live,Kitty Play Records,"12"", Album, Ltd",,2009,1978770,Uncategorized,2019-02-25 16:17:54,,,
B0019906-01,St. Vincent,St. Vincent,"Loma Vista, Republic Records","LP, Album",,2014,5433829,Uncategorized,2019-03-03 16:34:46,,,
LK310,Ted Leo / Pharmacists,Shake The Sheets,Lookout! Records,"LP, Album, RE",,2010,2934649,Uncategorized,2019-03-03 16:55:36,,,
LOV 021,Engine Down,To Bury Within The Sound,Lovitt Records,"LP, Album",,2000,1316009,Uncategorized,2019-03-02 06:59:57,,,
LOV 075,Des Ark,WXDU Vol. 3,Lovitt Records,"12"", RE, Cok",,2013,5087345,Uncategorized,2019-03-02 06:08:19,,,
LOV 42,Engine Down,Engine Down,Lovitt Records,"LP, Album, 180",,2004,2475924,Uncategorized,2019-03-02 06:59:39,,,
LOV064,Des Ark,"Don't Rock The Boat, Sink The Fucker",Lovitt Records,"LP, Album",,2011,2832316,Uncategorized,2019-03-02 06:06:44,,,
LOV53,Ben Davis And The Jetts / Des Ark,Battle Of The Beards,Lovitt Records,"LP, Album, Oli",,2007,2238448,Uncategorized,2019-03-02 06:05:24,,,
"MYS002, SWU011",The Velvet Teen,No Star,"MAKEYOUSICK, SWU Records","12"", EP, Ltd, Gre",,2010,2814346,Uncategorized,2019-03-03 17:13:21,,,
OLE 545-0,Interpol,Turn On The Bright Lights,Matador,"LP, Album, RE",,2014,6799508,Uncategorized,2019-03-02 08:13:05,,,
OLE 577-1,Arab Strap,Monday At The Hug & Pint,Matador,"LP, Album, 150",,2003,2116126,Uncategorized,2019-02-25 16:20:23,,,
OLE 616-0,Interpol,Antics,Matador,"LP, Album, RE, 120",,2010,3415175,Uncategorized,2019-03-02 08:12:04,,,
OLE 773-1,Cat Power,Sun,Matador,"2xLP, Album",,2012,4460698,Uncategorized,2019-02-25 18:27:23,,,
OLE-1092-1,Car Seat Headrest,Twin Fantasy,Matador,"2xLP, Album, GZ ",,2018,11601670,Uncategorized,2019-03-02 08:00:36,,,
OLE-1179-1,Snail Mail (2),Lush,Matador,"LP, Album",,2018,12100638,Uncategorized,2019-03-03 16:26:28,,,
ole-130-0,Pavement,Wowee Zowee,Matador,"LP + LP, S/Sided + Album, RE",,2016,9818877,Uncategorized,2019-03-03 15:27:15,,,
OLE-427-0,Cat Power,You Are Free,Matador,"LP, Album, RE, RM, 120",,2012,3703899,Uncategorized,2019-02-25 18:25:24,,,
OLE-1148-1,Courtney Barnett And Kurt Vile,Lotta Sea Lice,"Matador, Milk! Records, Marathon Artists, Mom + Pop","LP, Album",,2017,10984010,Uncategorized,2019-02-25 18:15:49,,,
OLE-1036-1,Savages (2),Silence Yourself,"Matador, Pop Noire","LP, Album",,2013,4595665,Uncategorized,2019-03-03 16:20:24,,,
MRG 345,Spoon,Got Nuffin,Merge Records,"12""",,2009,1885348,Uncategorized,2019-03-03 16:25:17,,,
MRG 346,Wye Oak,The Knot,Merge Records,"LP, Album",,2011,3180115,Uncategorized,2019-02-25 14:54:52,,,
MRG 394,Telekinesis (2),12 Desperate Straight Lines,Merge Records,"LP, Album",,2011,2767427,Uncategorized,2019-03-03 16:50:05,,,
MRG 411,Wild Flag,Wild Flag,Merge Records,"LP, Album",,2011,3101043,Uncategorized,2019-03-03 17:20:35,,,
MRG 456,Mount Moriah,Mount Moriah,Merge Records,"LP, Album",,2012,3911925,Uncategorized,2019-03-03 14:45:15,,,
MRG020,Superchunk,Tossing Seeds (Singles 89-91),Merge Records,"LP, Comp, RE, RM, 180",,2016,8393800,Uncategorized,2019-03-03 16:07:54,,,
MRG056,Polvo,Celebrate The New Dark Age,Merge Records,"12"", EP, Ltd, Num, RE, RM",,2008,1529842,Uncategorized,2019-03-03 15:28:41,,,
MRG129LP,Superchunk,Indoor Living,Merge Records,"LP, Album, RE, RM",,2014,5440821,Uncategorized,2019-03-03 16:08:36,,,
MRG163,Superchunk,Come Pick Me Up,Merge Records,"LP, Album, RE, RM, 180",,2015,7215935,Uncategorized,2019-03-03 16:08:19,,,
MRG165,Superchunk,No Pocky For Kitty,Merge Records,"LP, Album, RE, RM, 180",,2010,2476221,Uncategorized,2019-03-03 16:08:59,,,
MRG187,The Clientele,Suburban Light,Merge Records,"2xCD, Comp, RE",,2014,5719477,Uncategorized,2019-03-02 05:30:53,,,
MRG195,Spoon,Girls Can Tell,Merge Records,"LP, Album, RE, 180",,2008,1692383,Uncategorized,2019-03-03 16:24:53,,,
MRG218,Destroyer (4),This Night,Merge Records,"2xLP, Album, Ltd, RE",,2013,4493864,Uncategorized,2019-03-02 05:41:15,,,
mrg221,Superchunk,Cup Of Sand,Merge Records,"3xLP, Comp, RE, RM",,2017,10175133,Uncategorized,2019-03-03 16:09:35,,,
MRG225R,Portastatic,The Summer Of The Shark,Merge Records,"LP, Album, RE, Whi",,2014,6247814,Uncategorized,2019-03-03 15:12:13,,,
MRG238,Destroyer (4),Your Blues,Merge Records,"LP, Album, RE, 180",,2014,6355652,Uncategorized,2019-03-02 05:45:39,,,
MRG255,Arcade Fire,Funeral,Merge Records,"LP, Album, RE, 180",,2009,2093841,Uncategorized,2019-02-25 17:09:58,,,
MRG260,M. Ward,Transistor Radio,Merge Records,"LP, Album, RE, 180 + CD, EP",,2014,6363251,Uncategorized,2019-03-03 17:17:08,,,
